nn,md,nc,umap_metric,mcs,ms,eps,hdb_metric,Clusters,Silhouette,NoiseRatio,Score,TimeSec
50,0.1,16,euclidean,50,50,0.1,euclidean,47,0.6827314496040344,0.1858912413247825,0.4968402082792518,6.604
50,0.1,16,euclidean,50,50,0.0,euclidean,47,0.6827314496040344,0.1858912413247825,0.4968402082792518,6.608
50,0.0,8,euclidean,100,50,0.1,euclidean,33,0.7119923830032349,0.2200650092242818,0.491927373778953,4.98
50,0.0,8,euclidean,100,50,0.0,euclidean,33,0.7119923830032349,0.2200650092242818,0.491927373778953,5.31
50,0.0,32,euclidean,100,20,0.1,euclidean,33,0.685103178024292,0.1950276728454713,0.4900755051788207,6.022
50,0.0,32,euclidean,100,20,0.0,euclidean,33,0.685103178024292,0.1950276728454713,0.4900755051788207,6.172
30,0.0,32,euclidean,100,20,0.1,euclidean,34,0.6861889958381653,0.1965211279978916,0.4896678678402737,7.201
30,0.0,32,euclidean,100,20,0.0,euclidean,34,0.6861889958381653,0.1965211279978916,0.4896678678402737,7.108
30,0.0,32,euclidean,100,50,0.0,euclidean,31,0.7095837593078613,0.220416410436616,0.4891673488712453,8.189
30,0.0,32,euclidean,100,50,0.1,euclidean,31,0.7095837593078613,0.220416410436616,0.4891673488712453,8.23
