nn,md,nc,umap_metric,mcs,ms,eps,hdb_metric,Clusters,Silhouette,NoiseRatio,Score,TimeSec
50,0.0,8,euclidean,300,80,0.1,euclidean,35,0.6223999857902527,0.2643264850145752,0.3580735007756774,31.804
50,0.0,8,euclidean,300,80,0.0,euclidean,35,0.6223999857902527,0.2643264850145752,0.3580735007756774,31.867
50,0.0,8,euclidean,300,80,0.2,euclidean,35,0.6223999857902527,0.2643264850145752,0.3580735007756774,32.319
80,0.0,24,euclidean,200,80,0.2,euclidean,44,0.6319745182991028,0.277452914172005,0.3545216041270977,41.778
120,0.0,16,euclidean,300,50,0.1,euclidean,37,0.6220138072967529,0.2680270208940634,0.3539867864026895,45.547
120,0.0,16,euclidean,300,50,0.0,euclidean,37,0.6220138072967529,0.2680270208940634,0.3539867864026895,47.047
80,0.0,8,euclidean,300,80,0.2,euclidean,36,0.6402469873428345,0.2870184503133237,0.3532285370295108,34.19
80,0.0,8,euclidean,300,80,0.0,euclidean,37,0.6398890614509583,0.2890781825481331,0.3508108789028251,33.191
80,0.0,8,euclidean,300,80,0.1,euclidean,37,0.6398890614509583,0.2890781825481331,0.3508108789028251,34.801
50,0.0,16,euclidean,300,50,0.0,euclidean,38,0.6304832100868225,0.2805250571662972,0.3499581529205253,36.475
