nn,md,nc,umap_metric,mcs,ms,eps,hdb_metric,Clusters,Silhouette,NoiseRatio,Score,TimeSec
20,0.0,8,euclidean,50,10,0.0,euclidean,27,0.5949369072914124,0.1298178737822956,0.4651190335091167,0.39
20,0.0,8,euclidean,50,10,0.1,euclidean,27,0.5949369072914124,0.1298178737822956,0.4651190335091167,0.386
10,0.0,16,euclidean,50,20,0.1,euclidean,30,0.6868013143539429,0.2274459974587039,0.4593553168952389,0.482
10,0.0,16,euclidean,50,20,0.0,euclidean,30,0.6868013143539429,0.2274459974587039,0.4593553168952389,0.466
20,0.0,8,euclidean,50,20,0.1,euclidean,29,0.6337297558784485,0.1821262177043625,0.4516035381740859,0.366
20,0.0,8,euclidean,50,20,0.0,euclidean,29,0.6337297558784485,0.1821262177043625,0.4516035381740859,0.383
10,0.0,4,euclidean,20,50,0.1,euclidean,29,0.7160125970840454,0.2649301143583227,0.4510824827257226,0.358
10,0.0,4,euclidean,20,50,0.0,euclidean,29,0.7160125970840454,0.2649301143583227,0.4510824827257226,0.345
20,0.0,16,euclidean,50,20,0.1,euclidean,28,0.6194582581520081,0.1689961880559085,0.4504620700960995,0.521
20,0.0,16,euclidean,50,20,0.0,euclidean,28,0.6194582581520081,0.1689961880559085,0.4504620700960995,0.499
