nn,md,nc,umap_metric,mcs,ms,eps,hdb_metric,Clusters,Silhouette,NoiseRatio,Score,TimeSec
120,0.0,24,euclidean,500,50,0.0,euclidean,23,0.5827385187149048,0.1778351865104994,0.4049033322044054,58.073
120,0.0,24,euclidean,500,50,0.1,euclidean,23,0.5827385187149048,0.1778351865104994,0.4049033322044054,50.803
120,0.0,24,euclidean,500,50,0.2,euclidean,23,0.5827385187149048,0.1778351865104994,0.4049033322044054,53.97
50,0.0,24,euclidean,500,50,0.2,euclidean,25,0.6002140045166016,0.20028277679833825,0.3999312277182633,45.872
50,0.0,24,euclidean,500,50,0.0,euclidean,25,0.6002140045166016,0.20028277679833825,0.3999312277182633,43.862
50,0.0,24,euclidean,500,50,0.1,euclidean,25,0.6002140045166016,0.20028277679833825,0.3999312277182633,43.373
120,0.0,16,euclidean,500,50,0.0,euclidean,23,0.5838212370872498,0.18581228508090558,0.3980089520063442,53.909
120,0.0,16,euclidean,500,50,0.2,euclidean,23,0.5838212370872498,0.18581228508090558,0.3980089520063442,57.041
120,0.0,16,euclidean,500,50,0.1,euclidean,23,0.5838212370872498,0.18581228508090558,0.3980089520063442,55.173
80,0.0,8,euclidean,500,80,0.1,euclidean,27,0.6189017295837402,0.22880483164307283,0.3900968979406674,40.821
80,0.0,8,euclidean,500,80,0.0,euclidean,27,0.6189017295837402,0.22880483164307283,0.3900968979406674,39.367
80,0.0,8,euclidean,500,80,0.2,euclidean,27,0.6189017295837402,0.22880483164307283,0.3900968979406674,39.361
50,0.0,16,euclidean,500,50,0.1,euclidean,26,0.603216826915741,0.2153642060430449,0.38785262087269606,42.671
50,0.0,16,euclidean,500,50,0.2,euclidean,26,0.603216826915741,0.2153642060430449,0.38785262087269606,41.104
50,0.0,16,euclidean,500,50,0.0,euclidean,26,0.603216826915741,0.2153642060430449,0.38785262087269606,42.9
120,0.0,24,euclidean,300,80,0.0,euclidean,30,0.6166240572929382,0.22885719771683918,0.387766859576099,52.544
120,0.0,24,euclidean,300,80,0.1,euclidean,30,0.6166240572929382,0.22885719771683918,0.387766859576099,51.141
120,0.0,24,euclidean,300,80,0.2,euclidean,29,0.6138362288475037,0.22657054582904224,0.3872656830184614,51.292
50,0.0,16,euclidean,500,80,0.2,euclidean,26,0.6084319949150085,0.2218925099059156,0.38653948500909296,40.59
50,0.0,16,euclidean,500,80,0.1,euclidean,26,0.6084319949150085,0.2218925099059156,0.38653948500909296,42.811
50,0.0,16,euclidean,500,80,0.0,euclidean,26,0.6084319949150085,0.2218925099059156,0.38653948500909296,42.639
120,0.0,24,euclidean,300,50,0.2,euclidean,29,0.6007908582687378,0.21426451849395173,0.38652633977478607,54.791
80,0.0,24,euclidean,500,80,0.1,euclidean,26,0.5755100250244141,0.19356246399832427,0.3819475610260898,53.384
80,0.0,24,euclidean,500,80,0.2,euclidean,26,0.5755100250244141,0.19356246399832427,0.3819475610260898,51.382
80,0.0,24,euclidean,500,80,0.0,euclidean,26,0.5755100250244141,0.19356246399832427,0.3819475610260898,50.629
120,0.0,24,euclidean,300,50,0.0,euclidean,31,0.604742169380188,0.2248075546789087,0.3799346147012793,51.08
120,0.0,24,euclidean,300,50,0.1,euclidean,31,0.604742169380188,0.2248075546789087,0.3799346147012793,50.995
80,0.0,8,euclidean,500,50,0.0,euclidean,27,0.5951907634735107,0.217668313288764,0.3775224501847467,39.639
80,0.0,8,euclidean,500,50,0.2,euclidean,27,0.5951907634735107,0.217668313288764,0.3775224501847467,39.385
80,0.0,8,euclidean,500,50,0.1,euclidean,27,0.5951907634735107,0.217668313288764,0.3775224501847467,41.906
80,0.0,24,euclidean,300,80,0.1,euclidean,28,0.5773245692253113,0.19982893749236327,0.377495631732948,51.145
80,0.0,24,euclidean,300,80,0.0,euclidean,28,0.5773245692253113,0.19982893749236327,0.377495631732948,51.824
80,0.0,24,euclidean,300,80,0.2,euclidean,28,0.5773245692253113,0.19982893749236327,0.377495631732948,51.754
80,0.0,24,euclidean,500,50,0.2,euclidean,26,0.6067398190498352,0.22932849238073627,0.37741132666909893,47.005
80,0.0,24,euclidean,500,50,0.1,euclidean,26,0.6067398190498352,0.22932849238073627,0.37741132666909893,46.88
80,0.0,24,euclidean,500,50,0.0,euclidean,26,0.6067398190498352,0.22932849238073627,0.37741132666909893,46.101
50,0.0,24,euclidean,300,50,0.2,euclidean,31,0.6024757623672485,0.22786224231527868,0.37461352005196985,42.577
120,0.0,16,euclidean,300,80,0.2,euclidean,33,0.6261289715766907,0.25339943095533174,0.37272954062135893,47.283
120,0.0,16,euclidean,300,80,0.1,euclidean,33,0.6261289715766907,0.25339943095533174,0.37272954062135893,48.297
120,0.0,16,euclidean,300,80,0.0,euclidean,33,0.6261289715766907,0.25339943095533174,0.37272954062135893,48.231
50,0.0,8,euclidean,500,50,0.1,euclidean,28,0.5904073715209961,0.21810469723681683,0.3723026742841793,35.046
50,0.0,8,euclidean,500,50,0.2,euclidean,28,0.5904073715209961,0.21810469723681683,0.3723026742841793,35.915
50,0.0,8,euclidean,500,50,0.0,euclidean,28,0.5904073715209961,0.21810469723681683,0.3723026742841793,35.518
80,0.0,24,euclidean,500,120,0.1,euclidean,26,0.6309220790863037,0.2591771544275515,0.3717449246587522,43.292
80,0.0,24,euclidean,500,120,0.2,euclidean,26,0.6309220790863037,0.2591771544275515,0.3717449246587522,42.987
80,0.0,24,euclidean,500,120,0.0,euclidean,26,0.6309220790863037,0.2591771544275515,0.3717449246587522,45.139
50,0.0,24,euclidean,300,50,0.1,euclidean,32,0.6067333817481995,0.23594407303321754,0.37078930871498195,39.989
50,0.0,24,euclidean,300,50,0.0,euclidean,32,0.6067333817481995,0.23594407303321754,0.37078930871498195,43.069
80,0.0,16,euclidean,300,120,0.0,euclidean,29,0.5905588269233704,0.2213513938103301,0.3692074331130403,42.638
80,0.0,16,euclidean,300,120,0.2,euclidean,29,0.5905588269233704,0.2213513938103301,0.3692074331130403,41.889
80,0.0,16,euclidean,300,120,0.1,euclidean,29,0.5905588269233704,0.2213513938103301,0.3692074331130403,41.657
120,0.0,24,euclidean,500,80,0.2,euclidean,24,0.5548804998397827,0.18630103510272478,0.36857946473705794,56.903
120,0.0,24,euclidean,500,80,0.1,euclidean,24,0.5548804998397827,0.18630103510272478,0.36857946473705794,56.445
120,0.0,24,euclidean,500,80,0.0,euclidean,24,0.5548804998397827,0.18630103510272478,0.36857946473705794,56.759
50,0.0,8,euclidean,500,80,0.0,euclidean,24,0.5557971596717834,0.18781965124194872,0.36797750842983473,38.291
50,0.0,8,euclidean,500,80,0.2,euclidean,24,0.5557971596717834,0.18781965124194872,0.36797750842983473,37.438
