nn,md,nc,umap_metric,mcs,ms,eps,hdb_metric,Clusters,Silhouette,NoiseRatio,Score,TimeSec
50,0.1,4,euclidean,50,50,0.0,euclidean,2,0.7050502896308899,0.006776789495976281,0.6982735001349136,0.519
50,0.1,4,euclidean,50,50,0.1,euclidean,2,0.7050502896308899,0.006776789495976281,0.6982735001349136,0.512
50,0.1,4,euclidean,20,50,0.0,euclidean,2,0.7050502896308899,0.006776789495976281,0.6982735001349136,0.53
50,0.1,4,euclidean,20,50,0.1,euclidean,2,0.7050502896308899,0.006776789495976281,0.6982735001349136,0.512
10,0.0,8,euclidean,20,5,0.0,euclidean,72,0.6714138388633728,0.1156289707750953,0.5557848680882775,0.446
10,0.0,8,euclidean,20,5,0.1,euclidean,72,0.6714138388633728,0.1156289707750953,0.5557848680882775,0.433
10,0.0,8,euclidean,20,10,0.0,euclidean,68,0.6894486546516418,0.14930114358322744,0.5401475110684144,0.436
10,0.0,8,euclidean,20,10,0.1,euclidean,68,0.6894486546516418,0.14930114358322744,0.5401475110684144,0.436
10,0.0,4,euclidean,20,10,0.0,euclidean,68,0.7059095501899719,0.17069038542990259,0.5352191647600694,0.376
10,0.0,4,euclidean,20,10,0.1,euclidean,68,0.7059095501899719,0.17069038542990259,0.5352191647600694,0.374
10,0.0,16,euclidean,20,5,0.0,euclidean,68,0.6700702905654907,0.13828886065226598,0.5317814299132247,0.495
10,0.0,16,euclidean,20,5,0.1,euclidean,68,0.6700702905654907,0.13828886065226598,0.5317814299132247,0.49
10,0.0,4,euclidean,20,5,0.1,euclidean,77,0.6746869683265686,0.14358322744599747,0.5311037408805711,0.415
10,0.0,4,euclidean,20,5,0.0,euclidean,78,0.6718726754188538,0.1444303261329945,0.5274423492858593,0.425
10,0.0,8,euclidean,20,20,0.1,euclidean,56,0.7069738507270813,0.1819144430326133,0.525059407694468,0.415
10,0.0,8,euclidean,20,20,0.0,euclidean,56,0.7069738507270813,0.1819144430326133,0.525059407694468,0.433
10,0.0,16,euclidean,20,10,0.1,euclidean,65,0.6762009263038635,0.15607793307920373,0.5201229932246598,0.489
10,0.0,16,euclidean,20,10,0.0,euclidean,65,0.6762009263038635,0.15607793307920373,0.5201229932246598,0.486
10,0.0,4,euclidean,20,20,0.1,euclidean,58,0.7335798740386963,0.21833968657348582,0.5152401874652105,0.366
10,0.0,4,euclidean,20,20,0.0,euclidean,58,0.7335798740386963,0.21833968657348582,0.5152401874652105,0.341
10,0.0,16,euclidean,20,20,0.0,euclidean,51,0.714803159236908,0.2056332062685303,0.5091699529683776,0.486
10,0.0,16,euclidean,20,20,0.1,euclidean,51,0.714803159236908,0.2056332062685303,0.5091699529683776,0.491
10,0.0,16,euclidean,50,5,0.1,euclidean,31,0.6077975630760193,0.11753494282083862,0.49026262025518064,0.503
10,0.0,16,euclidean,50,5,0.0,euclidean,31,0.6077975630760193,0.11753494282083862,0.49026262025518064,0.513
20,0.0,8,euclidean,20,20,0.1,euclidean,54,0.6783638000488281,0.18826768318509107,0.49009611686373705,0.373
20,0.0,8,euclidean,20,20,0.0,euclidean,54,0.6783638000488281,0.18826768318509107,0.49009611686373705,0.37
20,0.0,4,euclidean,20,10,0.1,euclidean,64,0.7010075449943542,0.21156289707750953,0.4894446479168447,0.328
20,0.0,4,euclidean,20,10,0.0,euclidean,64,0.7010075449943542,0.21156289707750953,0.4894446479168447,0.328
10,0.0,4,euclidean,50,10,0.1,euclidean,34,0.6662415862083435,0.17789072426937738,0.48835086193896615,0.388
10,0.0,4,euclidean,50,10,0.0,euclidean,34,0.6662415862083435,0.17789072426937738,0.48835086193896615,0.384
20,0.0,8,euclidean,20,10,0.1,euclidean,57,0.6396708488464355,0.15184243964421856,0.487828409202217,0.391
20,0.0,8,euclidean,20,10,0.0,euclidean,57,0.6396708488464355,0.15184243964421856,0.487828409202217,0.398
20,0.0,4,euclidean,20,20,0.1,euclidean,55,0.7028625011444092,0.21601016518424396,0.4868523359601652,0.329
20,0.0,4,euclidean,20,20,0.0,euclidean,55,0.7028625011444092,0.21601016518424396,0.4868523359601652,0.329
10,0.0,4,euclidean,50,5,0.1,euclidean,33,0.6317337155342102,0.14633629817873783,0.48539741735547237,0.366
10,0.0,4,euclidean,50,5,0.0,euclidean,33,0.6317337155342102,0.14633629817873783,0.48539741735547237,0.38
20,0.0,16,euclidean,20,10,0.0,euclidean,59,0.693497359752655,0.20944515036001693,0.4840522093926381,0.461
20,0.0,16,euclidean,20,10,0.1,euclidean,59,0.693497359752655,0.20944515036001693,0.4840522093926381,0.457
20,0.0,4,euclidean,20,5,0.0,euclidean,68,0.667641818523407,0.18382041507835664,0.4838214034450503,0.334
20,0.0,4,euclidean,20,5,0.1,euclidean,68,0.667641818523407,0.18382041507835664,0.4838214034450503,0.334
20,0.0,16,euclidean,20,20,0.0,euclidean,54,0.6977007985115051,0.2143159678102499,0.48338483070125526,0.477
20,0.0,16,euclidean,20,20,0.1,euclidean,54,0.6977007985115051,0.2143159678102499,0.48338483070125526,0.478
20,0.0,8,euclidean,20,5,0.1,euclidean,63,0.6593894362449646,0.17767894959762812,0.4817104866473365,0.399
20,0.0,8,euclidean,20,5,0.0,euclidean,63,0.6593894362449646,0.17767894959762812,0.4817104866473365,0.39
10,0.0,8,euclidean,50,5,0.1,euclidean,34,0.6317518353462219,0.15544260906395596,0.47630922628226596,0.401
10,0.0,8,euclidean,50,5,0.0,euclidean,34,0.6317518353462219,0.15544260906395596,0.47630922628226596,0.451
10,0.0,16,euclidean,50,10,0.0,euclidean,35,0.6664550304412842,0.19144430326132994,0.47501072717995424,0.472
10,0.0,16,euclidean,50,10,0.1,euclidean,35,0.6664550304412842,0.19144430326132994,0.47501072717995424,0.504
10,0.1,4,euclidean,20,10,0.1,euclidean,61,0.6633445620536804,0.19080897924608217,0.4725355828075982,0.363
10,0.1,4,euclidean,20,10,0.0,euclidean,61,0.6633445620536804,0.19080897924608217,0.4725355828075982,0.357
10,0.0,4,euclidean,50,20,0.0,euclidean,33,0.6981537342071533,0.22617534942820838,0.47197838477894494,0.395
10,0.0,4,euclidean,50,20,0.1,euclidean,33,0.6981537342071533,0.22617534942820838,0.47197838477894494,0.355
20,0.0,16,euclidean,20,5,0.0,euclidean,66,0.6642628908157349,0.19504447268106734,0.4692184181346675,0.505
20,0.0,16,euclidean,20,5,0.1,euclidean,66,0.6642628908157349,0.19504447268106734,0.4692184181346675,0.466
20,0.0,8,euclidean,50,10,0.1,euclidean,27,0.5949369072914124,0.12981787378229565,0.4651190335091167,0.386
20,0.0,8,euclidean,50,10,0.0,euclidean,27,0.5949369072914124,0.12981787378229565,0.4651190335091167,0.39
10,0.1,4,euclidean,20,5,0.0,euclidean,67,0.6213706135749817,0.15967810249894113,0.4616925110760406,0.381
10,0.1,4,euclidean,20,5,0.1,euclidean,67,0.6213706135749817,0.15967810249894113,0.4616925110760406,0.385
10,0.0,16,euclidean,50,20,0.0,euclidean,30,0.6868013143539429,0.22744599745870395,0.4593553168952389,0.466
10,0.0,16,euclidean,50,20,0.1,euclidean,30,0.6868013143539429,0.22744599745870395,0.4593553168952389,0.482
10,0.1,8,euclidean,20,10,0.1,euclidean,60,0.6552861928939819,0.1977975434138077,0.4574886494801742,0.41
10,0.1,8,euclidean,20,10,0.0,euclidean,60,0.6552861928939819,0.1977975434138077,0.4574886494801742,0.397
10,0.0,8,euclidean,50,10,0.1,euclidean,34,0.649158775806427,0.19589157136806437,0.45326720443836266,0.386
10,0.0,8,euclidean,50,10,0.0,euclidean,34,0.649158775806427,0.19589157136806437,0.45326720443836266,0.403
20,0.0,8,euclidean,50,5,0.1,euclidean,34,0.6162686347961426,0.16327827191867852,0.4529903628774641,0.371
20,0.0,8,euclidean,50,5,0.0,euclidean,34,0.6162686347961426,0.16327827191867852,0.4529903628774641,0.369
20,0.0,8,euclidean,50,20,0.0,euclidean,29,0.6337297558784485,0.18212621770436255,0.45160353817408594,0.383
20,0.0,8,euclidean,50,20,0.1,euclidean,29,0.6337297558784485,0.18212621770436255,0.45160353817408594,0.366
10,0.0,4,euclidean,20,50,0.0,euclidean,29,0.7160125970840454,0.26493011435832275,0.45108248272572266,0.345
10,0.0,4,euclidean,20,50,0.1,euclidean,29,0.7160125970840454,0.26493011435832275,0.45108248272572266,0.358
20,0.0,16,euclidean,50,20,0.1,euclidean,28,0.6194582581520081,0.16899618805590852,0.4504620700960995,0.521
20,0.0,16,euclidean,50,20,0.0,euclidean,28,0.6194582581520081,0.16899618805590852,0.4504620700960995,0.499
10,0.1,8,euclidean,20,5,0.1,euclidean,70,0.6295406222343445,0.17937314697162218,0.45016747526272227,0.408
10,0.1,8,euclidean,20,5,0.0,euclidean,70,0.6295406222343445,0.17937314697162218,0.45016747526272227,0.4
20,0.0,4,euclidean,50,20,0.0,euclidean,31,0.6548278331756592,0.20520965692503176,0.4496181762506274,0.357
20,0.0,4,euclidean,50,20,0.1,euclidean,31,0.6548278331756592,0.20520965692503176,0.4496181762506274,0.332
20,0.0,16,euclidean,50,10,0.1,euclidean,29,0.6068505644798279,0.1577721304531978,0.44907843402663006,0.481
20,0.0,16,euclidean,50,10,0.0,euclidean,29,0.6068505644798279,0.1577721304531978,0.44907843402663006,0.485
10,0.1,16,euclidean,20,10,0.0,euclidean,60,0.6568244099617004,0.20796272765777213,0.4488616823039283,0.512
10,0.1,16,euclidean,20,10,0.1,euclidean,60,0.6568244099617004,0.20796272765777213,0.4488616823039283,0.51
10,0.0,16,euclidean,20,50,0.0,euclidean,29,0.70271897315979,0.2543413807708598,0.4483775923889302,0.538
10,0.0,16,euclidean,20,50,0.1,euclidean,29,0.70271897315979,0.2543413807708598,0.4483775923889302,0.562
10,0.0,4,euclidean,50,50,0.0,euclidean,28,0.7114725708961487,0.26387124099957643,0.44760132989657225,0.35
10,0.0,4,euclidean,50,50,0.1,euclidean,28,0.7114725708961487,0.26387124099957643,0.44760132989657225,0.368
10,0.0,16,euclidean,50,50,0.0,euclidean,27,0.6911864280700684,0.2445997458703939,0.44658668219967446,0.523
10,0.0,16,euclidean,50,50,0.1,euclidean,27,0.6911864280700684,0.2445997458703939,0.44658668219967446,0.542
20,0.0,4,euclidean,50,10,0.1,euclidean,32,0.6160836219787598,0.17005506141465482,0.44602856056410495,0.351
20,0.0,4,euclidean,50,10,0.0,euclidean,32,0.6160836219787598,0.17005506141465482,0.44602856056410495,0.347
10,0.1,16,euclidean,20,5,0.1,euclidean,68,0.6449379324913025,0.20012706480304956,0.44481086768825295,0.53
10,0.1,16,euclidean,20,5,0.0,euclidean,68,0.6449379324913025,0.20012706480304956,0.44481086768825295,0.541
50,0.0,4,euclidean,20,5,0.1,euclidean,56,0.643519401550293,0.2003388394747988,0.44318056207549417,0.336
10,0.0,8,euclidean,50,20,0.1,euclidean,31,0.6646363139152527,0.22257518000847099,0.4420611339067817,0.417
